date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,surface_pressure,surface_solar_radiation_downwards_sum,u_component_of_wind_10m,v_component_of_wind_10m,runoff_sum_v
1961-01-01,0.0025412962451817,0.000102087484683,0.003257039992193,0.0,4.800350101133051e-05,-274.95780130309896,9.00792949293121e-05,0.0,0.2926393028134332,0.2922802636548447,0.2859853250046431,0.3126469419083688,102016.05653464976,11692057.66757815,-0.255492084048512,1.9952085813867977,0.0629316666666666
1961-01-02,0.0024586600712871,0.0001039631452918,0.0032515426228524,0.00027202492925,8.263854920392687e-05,-272.19539557116514,0.0001338326394742,0.0005703221312308,0.2933411070629719,0.292132138712893,0.2860288354641615,0.3126051979049614,101337.51761370072,10663484.169592198,-0.3326879387144499,1.4575426824141966,0.0626544444444444
1961-01-03,0.0031591310603375,0.0001019046723953,0.0035102551648425,0.0,9.918804834006856e-05,-274.4303238281316,0.0006042806297638,1.39446186685423e-06,0.2933465351356988,0.2917120514434949,0.2859838869924223,0.3125590587166315,101806.81280294283,10493908.692481851,0.6555242505411484,-3.0964666926008984,0.0628644444444444
1961-01-04,0.0024701374507122,0.0001005582433219,0.0030674902187741,4.59779751535298e-07,1.1681619717129085e-05,-275.48156909994015,0.0002285258179964,5.431258791648476e-07,0.2913222838259884,0.291385274204793,0.2859728115167367,0.3125152262811557,102496.8072708641,11046629.546558475,-1.3326375995008004,-0.6487505669588347,0.0637605555555555
1961-01-05,0.0010304783144331,0.000100810131699,0.0045354529332728,0.0003472593556039,6.695543225943469e-05,-275.27573383856907,9.692167213013516e-05,0.0003493975602157,0.290763692029678,0.2911374294168884,0.2859923429925536,0.3124731582455115,102487.20224436816,6149559.036076569,0.3337699398431261,-0.6471745781292697,0.0654008333333333
1961-01-06,0.0020316312400249,0.0001010173227263,0.0039793297190002,9.505180444577492e-10,0.0001182438978924,-275.0807484350171,0.0002089008972723,4.306176868201921e-07,0.2909208199420647,0.2908685050178409,0.285999874825977,0.3124313065865343,102260.63219945064,11519132.01834701,1.4241025989604976,0.3582083446632083,0.0633505555555555
1961-01-07,0.0025585369830995,0.000100517525486,0.0031747804440413,6.700563380751953e-05,0.0001051991394043,-272.5074795423182,0.0002096037987943,6.871311881259829e-05,0.2906953967305855,0.2905946180690151,0.2859993223037191,0.3123893776488409,101679.74238417548,12085593.228896538,1.0091680431004255,1.6997073656617756,0.062805
1961-01-08,0.0014213777504389,0.0001011843256141,0.0027680492884348,8.233953493519325e-05,0.0001960548387324,-272.40262180448866,0.000323723775134,9.245111731484004e-05,0.2908563622023254,0.2900438603604971,0.2859264041895814,0.3123428095393348,101244.80065120824,8925057.961365446,-1.576895158488057,1.0350423895766994,0.0641058333333333
1961-01-09,0.0006203797607339,0.0001379548346669,0.0061448733096002,0.0015672533006025,0.0001178125699346,-272.18777332041003,0.0002922143411232,0.0054594202052134,0.3153949514274282,0.290884135096178,0.2859096884892216,0.312299930039784,101684.30771263003,3914286.573873162,-1.3403441052467542,-2.2484468582389594,0.0753761111111111
1961-01-10,0.0027805964552905,9.830908804982082e-05,0.0110989195131722,0.0001057700022171,5.153061941501338e-07,-277.8463140676903,0.0006883626944011,0.0001064022716955,0.3216344991464518,0.2948914696386465,0.2858952993941579,0.3122560681434331,103047.50800869695,8835134.777336743,-0.5967381092806023,-3.2042154692620257,0.0632208333333333
1961-01-11,0.002355252892083,9.81746625852601e-05,0.0104927851926582,0.0,1.7656499527009006e-05,-278.68929518706676,0.000203847351903,2.583170498837717e-06,0.3131578124524144,0.2968629105729736,0.2859609093045971,0.3122148954678932,103104.5357282397,12691774.66690189,1.3820823103470754,-0.2594399958650045,0.0627580555555555
1961-01-12,0.0023647430316036,9.835768911741868e-05,0.0095325915734676,0.0,6.278767055374532e-05,-276.76049937730994,0.000170930919718,2.34842264035251e-06,0.3090398804023792,0.2978404039693229,0.2860587776579411,0.3121754341962585,102412.85381701244,11150194.239981188,1.4097597849311452,1.712191217605739,0.0627922222222222
1961-01-13,0.0025239590622134,9.86739393298578e-05,0.0083395463776119,0.0,0.0001179766456912,-275.79920655839044,0.0001543367467267,1.714602035463031e-06,0.3068679270339098,0.2983555325257655,0.2861621416421355,0.3121359534647437,102228.30564471474,12819316.107494636,0.6899125078983862,-0.4534820300790404,0.0629441666666666
1961-01-14,0.0025360170416751,0.0001005386765388,0.0062237124053155,0.0,0.0003117476022191,-273.9619537612941,0.0001595546997892,1.725235051708296e-06,0.307258359203511,0.2986883596186791,0.2862619188956687,0.3120962831068871,102103.99444066308,12747112.409867411,0.4768366127843778,-0.4370826253556102,0.0627769444444444
1961-01-15,0.0022276558650331,9.86490146831506e-05,0.0047156577770029,7.688928637465747e-07,0.0001749830594143,-275.06504160582944,0.0001689842914857,2.4864611572234658e-06,0.3065306872776993,0.2989624803664656,0.2863555376486676,0.3120565111501381,102774.9590423325,9369168.714121908,0.0573084144484891,-1.5679998118266636,0.0627911111111111
1961-01-16,0.0028031666179787,9.674337825338848e-05,0.0040765595789168,0.0,3.409545948264889e-05,-276.1976904733261,0.0001892163424942,1.2775253708241507e-06,0.3041322083077046,0.2990639945778485,0.286449193302534,0.3120170763671198,102446.51466790034,13245177.56796332,1.3266773133459084,1.3060718105897224,0.0627911111111111
1961-01-17,0.002818091128312,9.751177756628138e-05,0.0032135862485972,0.0,0.000128825983298,-274.5717119597534,0.000203737061004,0.0,0.302843991606242,0.2989480934398422,0.2865332928094368,0.3119774823906939,102322.406168292,13110599.175443253,0.1313507647952378,-0.8311884582393785,0.0628177777777777
1961-01-18,0.0028319075887196,9.677661768758016e-05,0.0023896125365077,0.0,9.236767736257908e-05,-273.5480023329799,0.0002657469013818,0.0,0.3012755101812681,0.2986508684682771,0.2865909581164153,0.3119372732315708,102375.19432675416,12963899.8066508,-1.640476144880267,2.013786129355017,0.0627283333333333
1961-01-19,0.0021535141013411,9.682290412654069e-05,0.0015986146657974,0.0,0.0001259811669662,-272.3469399416383,0.000355915110056,0.0,0.2996953561183956,0.2980315238615634,0.2865842455981471,0.3118934457124717,101925.35719381143,12666610.200582176,-0.9842596511634352,2.1547062911096395,0.0626822222222222
1961-01-20,0.0018510604241381,9.619696992149762e-05,0.0008137470498208,0.0,9.947844261060883e-05,-271.35073033601867,0.0005679004840027,1.3062615380476927e-06,0.29772509360037,0.2971068755169442,0.286502690138734,0.3118456396106441,101679.57236743713,13025513.507865112,0.6058627474775704,-0.9578058138081836,0.0626622222222222
1961-01-21,0.0019174117883793,9.533333654303594e-05,0.0003367668119627,0.0,5.31495817165332e-05,-271.0881527543154,0.000665865458178,2.541734204442037e-06,0.2947070737424517,0.295830547418791,0.2863496570823258,0.3117935861516845,101624.66701929276,13179983.06924231,-0.4926093123008278,0.7707226808483356,0.0627222222222222
1961-01-22,0.0021088364852571,9.474781567513912e-05,0.0001378314319111,0.0,3.217390401151462e-05,-268.58514877884517,0.0006349074315088,2.387491350822882e-06,0.2919191167351619,0.2945153336763635,0.286199362167483,0.311742329482275,101478.09922303978,13191317.175384449,-1.153240517346554,-0.7646399552449209,0.0626427777777777
1961-01-23,0.000962192925497,0.0001247436901748,6.508669950836988e-05,3.528989373258381e-07,1.746117245014994e-05,-269.6143557273849,0.0003582235447178,0.0032492571597771,0.3122692393603259,0.294663020836444,0.2861719058284876,0.3116991998269962,101004.29155052207,3375092.100908532,-1.10768671592738,-1.113872551760772,0.7202313888888888
1961-01-24,0.0048699252613447,9.405894004475987e-05,4.662056332265054e-05,1.7376887195796123e-06,4.370092911019415e-06,-271.75772788459483,0.0010914768013115,4.868529018530459e-05,0.3139096002914378,0.2964522225938122,0.2860697302989763,0.3116502591450038,101171.73860115273,11752996.662138732,3.90916983285605,-1.1136816858377232,0.0808486111111111
1961-01-25,0.0026621668238391,9.341916538568394e-05,1.895067037135045e-05,0.0,2.917611194313764e-06,-272.8245768317211,0.0008945210571842,8.624463703199581e-07,0.3042552892628053,0.2960748413487626,0.2858649667129324,0.3115946587350421,101822.97141867556,14042662.526711956,0.8268310981348137,1.159266585846096,0.0661055555555555
1961-01-26,0.0033406169473281,9.952048266113806e-05,6.586075782467441e-06,2.298172999141968e-06,3.229748373440163e-06,-268.99847074027497,0.0008783214637517,0.000747821531742,0.2992462120517135,0.2950904443684076,0.2856888044769922,0.3115412419068016,101783.55683600355,13433061.561847651,-2.197089283886453,1.1542381206863173,0.0623755555555555
1961-01-27,0.0025003538009283,9.316868427475476e-05,4.450536223574729e-06,9.00484408813813e-07,4.06477655868761e-06,-268.72714814538824,0.0008771170984886,7.518674184944386e-05,0.2993580155858044,0.2941506538818448,0.2854936160865357,0.311486514854755,101833.17607213811,12738050.698068276,-1.6332789117098043,-1.2919465709617988,0.0623636111111111
1961-01-28,0.0007036142166228,0.000116001844725,4.884822419584843e-06,2.668853371065741e-05,1.2188135919538404e-06,-269.7924671699538,0.000612530543187,0.0029675671387831,0.317445573080242,0.2950865585051834,0.2855048786275603,0.3114445510537796,101799.99911672174,3004917.4081326644,-0.748672666466544,-1.926825086220825,0.0878927777777777
1961-01-29,0.0029579826170973,9.222643851939469e-05,3.098147474346538e-05,3.569561641227705e-06,1.1101638097739374e-05,-272.4041396449314,0.0010084987407645,7.213440021629626e-06,0.3129154197209311,0.2964052301617182,0.2853999911086183,0.311394199091198,101815.30472274064,12372744.824086336,-0.5741385179432749,-2.015956170313604,0.0635283333333333
1961-01-30,0.0039413925158988,9.206903632387968e-05,4.909467862113242e-05,3.566089117752385e-05,7.223840421189188e-06,-273.7593419303472,0.0009176106949886,7.870182017326632e-05,0.3044009351170013,0.2960782380792125,0.2852439767088797,0.3113404053656484,101834.95818049822,11670372.119843584,1.6036990863172378,-2.4795253507163304,0.0622925
1961-01-31,0.0040388129558882,9.145237815849428e-05,8.820316749544272e-05,0.0,0.0,-277.6270832553702,0.0005606713262721,1.7169968486996368e-06,0.2989168117483154,0.2955650465939858,0.2851878384697104,0.3112944366989562,102306.66373102598,14968344.123842295,2.613721709029749,-1.4872798864917622,0.0624819444444444
1961-02-01,0.0036063885397251,9.12442188689712e-05,3.0793642972739234e-05,0.0,5.6655682805866615e-06,-274.6588854295561,0.0004102833409297,3.872102752211504e-06,0.2954124233166628,0.2949931867300263,0.2851806713641611,0.3112515833702335,101825.91217151508,14913180.436799873,2.664017059464124,-0.0202527153387174,0.0678280555555555
1961-02-02,0.0034553266542309,9.096576461880048e-05,2.8270476065341626e-06,0.0,8.143120672617203e-06,-273.5659919215314,0.0005728623978937,2.136045054612623e-06,0.2920177046741134,0.2940178911598062,0.2851147898379152,0.3112056313220166,101690.21670306448,14856279.914380644,1.0562974514385073,-1.1643846314540822,0.0651063888888888
1961-02-03,0.0032952372977627,9.065488672821484e-05,-7.345364722995101e-24,0.0,8.676407518030314e-06,-270.4488799560927,0.0006937515775364,0.0,0.2886944040525382,0.2926746641631646,0.2849811132866457,0.3111560054877494,101632.70449840683,15010602.631501583,-0.7002977957797547,2.0875322444524955,0.0622033333333333
1961-02-04,0.0013129043023906,0.0001085984307656,0.0011609594617213,0.0003902575571289,4.0627793973813856e-05,-270.7721434399169,0.0003695886507435,0.0024595175823873,0.2963833890355629,0.2918709194355368,0.2849232448566554,0.3111113927129586,101307.0506575969,3930264.1701802392,-2.0522240437023607,0.5341636618998378,0.1193702777777777
