time,total_precipitation_sum,total_precipitation_sum_sum,temperature_2m,snow_depth,volumetric_soil_water_layer_1,runoff_sum
2011-06-11,0.0,0.0,27.117969512939453,0.0,43.6083,0.53385
2011-06-12,2.860738515853882,2.8607385,27.202009201049805,0.0,43.49345,1.68845
2011-06-13,3.433626651763916,3.4336267,27.10376167297364,0.0,42.8043,0.6208499999999999
2011-06-14,0.1792378425598144,0.17923784,28.648914337158203,0.0,40.559250000000006,0.53645
2011-06-15,56.07497787475586,56.074978,23.207029342651367,0.0,50.94315,32.589150000000004
2011-06-16,18.6298942565918,18.629894,24.55320930480957,0.0,47.3849,8.833
2011-06-17,0.8088536262512207,0.8088536,27.01266098022461,0.0,44.0301,0.62295
2011-06-18,0.609764575958252,0.6097646,28.86675262451172,0.0,42.1184,0.9749
2011-06-19,0.1812953948974609,0.1812954,25.46814346313477,0.0,42.23055,1.7754
2011-06-20,0.3153743743896484,0.31537437,26.94051551818848,0.0,40.3973,0.63375
2011-06-21,1.2870731353759766,1.2870731,29.2448959350586,0.0,39.03755,0.69665
2011-06-22,1.2305808067321775,1.2305808,30.33794593811035,0.0,37.519850000000005,0.65445
2011-06-23,0.0,0.0,29.793357849121094,0.0,35.7135,0.622
2011-06-24,0.1757445335388183,0.17574453,29.653827667236328,0.0,34.08155,0.61805
2011-06-25,21.2981071472168,21.298107,26.61399269104004,0.0,42.57545,4.52435
2011-06-26,0.7942299842834473,0.79423,26.30381393432617,0.0,40.46545,0.61015
2011-06-27,0.9600207805633544,0.9600208,26.825252532958984,0.0,38.58545,0.7084
2011-06-28,6.254523277282715,6.2545233,27.472562789916992,0.0,39.0401,1.1773000000000002
2011-06-29,14.583974838256836,14.583975,26.30154037475586,0.0,44.09095,4.0547
2011-06-30,0.342496395111084,0.3424964,27.566814422607425,0.0,41.32075,0.5968
2011-07-01,0.0,0.0,29.202930450439453,0.0,38.9285,0.5951
2011-07-02,0.0733041763305664,0.07330418,30.14908218383789,0.0,36.5087,0.5927
2011-07-03,0.1645083427429199,0.16450834,30.563962936401367,0.0,34.85185,0.5929
2011-07-04,1.4440946578979492,1.4440947,31.240379333496094,0.0,33.90655,0.6507499999999999
2011-07-05,0.928501844406128,0.92850184,31.8931941986084,0.0,33.16615,0.71505
2011-07-06,0.0374464988708496,0.0374465,31.60865020751953,0.0,32.1148,0.5783499999999999
2011-07-07,0.0,0.0,30.917144775390625,0.0,30.9273,0.57435
2011-07-08,11.617956161499023,11.617956,24.641258239746094,0.0,36.350750000000005,2.7561
2011-07-09,0.0,0.0,27.226104736328125,0.0,34.70815,0.5665
2011-07-10,0.0,0.0,28.506929397583008,0.0,33.1546,0.56255
2011-07-11,0.0,0.0,28.958267211914062,0.0,32.6221,0.6295000000000001
2011-07-12,3.511178493499756,3.5111785,26.957393646240234,0.0,32.68935,0.6572499999999999
2011-07-13,4.050015449523926,4.0500154,27.017162322998047,0.0,32.785650000000004,0.6858500000000001
2011-07-14,0.0,0.0,25.94526481628418,0.0,31.95675,0.5469999999999999
2011-07-15,0.7736117839813232,0.7736118,26.79356002807617,0.0,31.3008,0.5561
2011-07-16,0.0,0.0,27.06603240966797,0.0,30.74515,0.53945
2011-07-17,0.119938850402832,0.11993885,28.46504592895508,0.0,29.89645,0.53565
2011-07-18,0.0,0.0,28.42187118530273,0.0,29.0202,0.5319499999999999
2011-07-19,0.0,0.0,28.76158142089844,0.0,28.3766,0.52825
2011-07-20,0.0,0.0,29.44932746887207,0.0,27.7616,0.5245500000000001
