date,potential_evaporation_sum,runoff_sum,snow_depth,snowfall_sum,snowmelt_sum,temperature_2m,total_evaporation_sum,total_precipitation_sum,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,surface_pressure,surface_solar_radiation_downwards_sum,u_component_of_wind_10m,v_component_of_wind_10m,runoff_sum_v
1961-01-01,0.001313198923824,0.0009484674941183,0.0585215336983802,0.0006704988974797,2.6542354661210235e-05,-276.33487537360077,0.0001840520802637,0.0006762293648014,0.3701587321142522,0.3736712623479851,0.3764758055101374,0.3964629299948446,84403.88854826332,4938795.797971433,-0.3681490275707335,0.6504330286647042,0.8077222222222223
1961-01-02,0.0018375963381335,0.0009516552121489,0.0625980782276896,0.0010262067880634,0.0001913671570889,-277.92992807376595,0.000251762818505,0.0010638136357816,0.370095049463871,0.3725599226954559,0.3760911631862181,0.3963016997474011,84412.74613680686,5068152.58580004,-0.1242917801194956,-1.176656827804572,0.8025444444444445
1961-01-03,0.0031149198889695,0.0009378915638366,0.064245231500498,0.0004553557162488,5.220064997080812e-05,-279.12329038026337,0.0003956752561096,0.0004614846332759,0.3683347378936537,0.3715532054518152,0.3756798595027596,0.3961392561035323,84729.39910350036,10126039.87414614,-0.3279552261322533,-0.7477776880451161,0.8028888888888889
1961-01-04,0.0015227361901271,0.0009299173513151,0.0872057577364934,0.0070999361088071,3.49273939858532e-05,-279.25664445475286,0.0002415429938008,0.0071049041103759,0.3669988296873069,0.3704586481773309,0.3752600465807569,0.3959758339120364,84692.62211609831,4794362.880149035,-0.5226857915704708,-0.3846977853482203,0.7926277777777777
1961-01-05,0.0017365204639573,0.0009238328210218,0.1155104798032885,0.0003558695277758,3.804636610619056e-05,-282.4069611086325,0.0002842102480481,0.0003603321992721,0.3660454160142437,0.3694217404593412,0.3748252664401665,0.3958125851098888,85217.53935830551,9859277.209273444,0.0091038735552965,-1.2548396497469283,0.8344388888888888
1961-01-06,0.0020446010108222,0.0009173191412959,0.1094336009935292,7.642371473204298e-05,2.915846097915964e-05,-282.61545322515354,0.0003022237585811,7.910132495425624e-05,0.365120834917013,0.3684676775139064,0.3743780742543399,0.3956463542083589,84987.93654894143,12705589.277168283,-0.0220906141751352,0.3063028408348753,0.832588888888889
1961-01-07,0.0010134731150455,0.0009131376660282,0.1148398342828757,0.0017336232873395,8.829886005442224e-05,-280.0771913833371,0.0002148431548249,0.0017400533657971,0.364801223929654,0.3676178782884273,0.3739233950703958,0.3954798200893276,84359.95074083444,6329276.9530118,0.1152252575497873,0.0769071290435927,0.7767555555555555
1961-01-08,0.0021237902816742,0.0009455340751528,0.1132441985058519,0.0004582957028602,0.0006990004288461,-278.54747430139025,0.0002705144979903,0.0004614681427939,0.3692840007507453,0.367569367502126,0.3734700448319077,0.3953126672302426,84015.17325477437,11364861.525564063,0.0151121854815005,-0.3293524547318431,0.8563555555555556
1961-01-09,0.002613196927916,0.0009032649989948,0.1146697208417964,0.0005167376329454,9.736784602162802e-05,-280.1618839500541,0.0004477898143594,0.0005505546071322,0.367174706234988,0.3677510607853723,0.3730429483070339,0.3951436143265922,84664.28987828981,9437277.30366384,0.0667947314585545,-1.7209940499370402,0.794661111111111
1961-01-10,0.0016105802796427,0.0008918570388895,0.1238198943293744,0.0018442087145331,1.499284374198171e-06,-282.9824157825129,0.0003284971339424,0.001848280481208,0.3649068802917981,0.3672594892175055,0.3726298718408693,0.3949731067290817,85580.65093702292,6976535.2283171145,-0.2551825627492325,-1.7817040281349068,0.7631666666666667
